Jenis Kendaraan,Kecepatan (km/h),Waktu
car,0.0,16:16:10
car,0.0,16:16:10
car,0.0,16:16:10
truck,0.0,16:16:10
car,0.0,16:16:10
car,0.0,16:16:10
car,0.0,16:16:10
car,0.0,16:16:10
car,0.0,16:16:10
bus,0.0,16:16:10
car,0.0,16:16:10
truck,0.0,16:16:10
car,0.0,16:16:10
car,0.0,16:16:10
truck,2.2736949382242,16:16:13
car,2.5069265545540427,16:16:13
truck,0.0,16:16:14
bus,6.204064853138157,16:16:14
bus,0.0,16:16:15
bus,2.1221700266474777,16:16:16
car,6.46928958252405,16:16:16
car,2.140736806736033,16:16:18
car,1.9991439670169922,16:16:19
truck,4.073040532156518,16:16:19
car,8.150401204788388,16:16:22
car,0.0,16:16:25
car,2.4396678062935844,16:16:25
car,0.0,16:16:29
truck,2.0354358876887053,16:16:30
car,0.0,16:16:30
truck,0.0,16:16:30
bus,0.0,16:16:32
car,6.044101160025939,16:16:32
car,2.1938425640049575,16:16:34
bus,0.0,16:16:34
truck,5.426975053768388,16:16:37
car,1.8753059148632285,16:16:41
car,6.107896736682856,16:16:42
car,8.14596021023755,16:16:44
car,0.0,16:16:45
car,8.300940841446721,16:16:46
car,2.066464994826822,16:16:47
bus,0.0,16:16:52
car,2.0935812808154983,16:16:54
bus,3.8784923718288735,16:16:55
bus,0.0,16:16:55
car,10.383811165102625,16:16:55
bus,2.151482920073296,16:16:55
car,8.68497055782673,16:16:56
bus,1.9012038926879267,16:16:57
bus,0.0,16:16:57
car,0.0,16:16:59
car,0.0,16:17:00
