timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132660175,86,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1,text,false,,2632,0,1,1,http://76.13.18.72:8000/api/traffic-classification,0,0,34
1769132660264,97,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1,text,false,,2632,0,1,1,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,34
1769132660375,77,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-2,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,24
1769132660361,91,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,38
1769132660453,94,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,34
1769132660452,97,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-2,text,false,,2632,0,1,1,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,36
1769132660549,98,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-2,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,35
1769132660576,171,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-3,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,39
1769132660647,100,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-2,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,30
1769132660748,310,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-3,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,30
